French Name,scientific_name,ABBR,class
Moucherolle vert,Empidonax virescens,ACFL,1.0
Moucherolle des aulnes,Empidonax alnorum,ALFL,1.0
Moucherolle des saules,Empidonax traillii,WIFL,1.0
Moucherolle tchébec,Empidonax minimus,LEFL,1.0
Moucherolle de Hammond,Empidonax hammondii,HAFL,1.0
Moucherolle gris,Empidonax wrightii,GRFL,1.0
Moucherolle sombre,Empidonax oberholseri,DUFL,1.0
Moucherolle côtier,Empidonax difficilis,PSFL,1.0
Moucherolle des ravins,Empidonax occidentalis,COFL,1.0
Moucherolle beige,Empidonax fulvifrons,BBFL,2.0
Moucherolle noir,Sayornis nigricans,BLPH,1.0
Moucherolle phébi,Sayornis phoebe,EAPH,1.0
Moucherolle à ventre roux,Sayornis saya,SAPH,1.0
Moucherolle vermillon,Pyrocephalus rubinus,VEFL,1.0
Pie-grièche migratrice,Lanius ludovicianus,LOSH,1.0
Pie-grièche boréale,Lanius borealis,NSHR,1.0
Viréo à tête noire,Vireo atricapilla,BCVI,2.0
Viréo aux yeux blancs,Vireo griseus,WEVI,1.0
Viréo de Bell,Vireo bellii,BEVI,1.0
Viréo gris,Vireo vicinior,GRVI,2.0
Viréo de Hutton,Vireo huttoni,HUVI,1.0
Viréo à gorge jaune,Vireo flavifrons,YTVI,1.0
Viréo de Cassin,Vireo cassinii,CAVI,1.0
Viréo à tête bleue,Vireo solitarius,BHVI,1.0
Viréo plombé,Vireo plumbeus,PLVI,1.0
Viréo de Philadelphie,Vireo philadelphicus,PHVI,1.0
Viréo mélodieux,Vireo gilvus,WAVI,1.0
Viréo aux yeux rouges,Vireo olivaceus,REVI,1.0
Viréo à moustaches,Vireo altiloquus,BWVI,2.0
Mésangeai du Canada,Perisoreus canadensis,CAJA,1.0
Geai vert,Cyanocorax yncas,GRJA,2.0
Geai des pinèdes,Gymnorhinus cyanocephalus,PIJA,1.0
Geai de Steller,Cyanocitta stelleri,STJA,1.0
Geai bleu,Cyanocitta cristata,BLJA,1.0
Geai à gorge blanche,Aphelocoma coerulescens,FLSJ,2.0
Geai de Santa Cruz,Aphelocoma insularis,ISSJ,2.0
Geai buissonnier,Aphelocoma californica,CASJ,1.0
Geai de Woodhouse,Aphelocoma woodhouseii,WOSJ,1.0
Geai du Mexique,Aphelocoma wollweberi,MEJA,2.0
Cassenoix d'Amérique,Nucifraga columbiana,CLNU,1.0
Pie d'Amérique,Pica hudsonia,BBMA,1.0
Pie à bec jaune,Pica nuttalli,YBMA,2.0
Corneille d'Amérique,Corvus brachyrhynchos,AMCR,1.0
Corneille de rivage,Corvus ossifragus,FICR,1.0
Corbeau à cou blanc,Corvus cryptoleucus,CHRA,1.0
Grand Corbeau,Corvus corax,CORA,1.0
Alouette des champs,Alauda arvensis,EUSK,2.0
Alouette hausse-col,Eremophila alpestris,HOLA,1.0
Hirondelle de rivage,Riparia riparia,BANS,1.0
Hirondelle bicolore,Tachycineta bicolor,TRES,1.0
Hirondelle à face blanche,Tachycineta thalassina,VGSW,1.0
Hirondelle à ailes hérissées,Stelgidopteryx serripennis,NRWS,1.0
Hirondelle noire,Progne subis,PUMA,1.0
Hirondelle rustique,Hirundo rustica,BARS,1.0
Hirondelle à front blanc,Petrochelidon pyrrhonota,CLSW,1.0
Hirondelle à front brun,Petrochelidon fulva,CASW,1.0
Mésange de Caroline,Poecile carolinensis,CACH,1.0
Mésange à tête noire,Poecile atricapillus,BCCH,1.0
Mésange de Gambel,Poecile gambeli,MOCH,1.0
Mésange grise,Poecile sclateri,MECH,2.0
Mésange à dos marron,Poecile rufescens,CBCH,1.0
Mésange à tête brune,Poecile hudsonicus,BOCH,1.0
Mésange arlequin,Baeolophus wollweberi,BRTI,2.0
Mésange unicolore,Baeolophus inornatus,OATI,1.0
Mésange des genévriers,Baeolophus ridgwayi,JUTI,1.0
Mésange bicolore,Baeolophus bicolor,TUTI,1.0
Mésange à plumet noir,Baeolophus atricristatus,BCTI,2.0
Auripare verdin,Auriparus flaviceps,VERD,1.0
Mésange buissonnière,Psaltriparus minimus,BUSH,1.0
Sittelle à poitrine rousse,Sitta canadensis,RBNU,1.0
Sittelle à poitrine blanche,Sitta carolinensis,WBNU,1.0
Sittelle pygmée,Sitta pygmaea,PYNU,1.0
Sittelle à tête brune,Sitta pusilla,BHNU,1.0
Grimpereau brun,Certhia americana,BRCR,1.0
Troglodyte des rochers,Salpinctes obsoletus,ROWR,1.0
Troglodyte des canyons,Catherpes mexicanus,CANW,1.0
Troglodyte familier,Troglodytes aedon,HOWR,1.0
Troglodyte de Baird,Troglodytes pacificus,PAWR,1.0
Troglodyte des forêts,Troglodytes hiemalis,WIWR,1.0
Troglodyte à bec court,Cistothorus platensis,SEWR,1.0
